UUID,bodytemp
00:81:F9:FD:B0:27,98.4  
00:81:F9:FD:B0:27,99.4  
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,99 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,99.4 
00:81:F9:FD:B0:27,99.1 
00:81:F9:FD:B0:27,99.8 
00:81:F9:FD:B0:27,99.1 
00:81:F9:FD:B0:27,99.7 
00:81:F9:FD:B0:27,99.4 
00:81:F9:FD:B0:27,98.1 
00:81:F9:FD:B0:27,99 
00:81:F9:FD:B0:27,99.6 
00:81:F9:FD:B0:27,100.2 
00:81:F9:FD:B0:27,99.3 
00:81:F9:FD:B0:27,100.3 
00:81:F9:FD:B0:27,99.8 
00:81:F9:FD:B0:27,97.9 
00:81:F9:FD:B0:27,99.3 
00:81:F9:FD:B0:27,99.4 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,98.3 
00:81:F9:FD:B0:27,99.7 
00:81:F9:FD:B0:27,99.5 
00:81:F9:FD:B0:27,97.6 
00:81:F9:FD:B0:27,99.8 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,98.7 
00:81:F9:FD:B0:27,99 
00:81:F9:FD:B0:27,99.6 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,99.3 
00:81:F9:FD:B0:27,100.5 
00:81:F9:FD:B0:27,99.9 
00:81:F9:FD:B0:27,97.6 
00:81:F9:FD:B0:27,99.4 
00:81:F9:FD:B0:27,99.5 
00:81:F9:FD:B0:27,99.5 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,98.9 
00:81:F9:FD:B0:27,99.1 
00:81:F9:FD:B0:27,98.2 
00:81:F9:FD:B0:27,98.5 
00:81:F9:FD:B0:27,98.5 
00:81:F9:FD:B0:27,98.1 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,97.9 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,99.2 
00:81:F9:FD:B0:27,99.3 
00:81:F9:FD:B0:27,99.6 
00:81:F9:FD:B0:27,98.6 
00:81:F9:FD:B0:27,98.7 
00:81:F9:FD:B0:27,98.9 
60:98:66:4B:2C:5E,98.4 
60:98:66:4B:2C:5E,99.3 
60:98:66:4B:2C:5E,100.1 
60:98:66:4B:2C:5E,99.7 
60:98:66:4B:2C:5E,99.9 
00:81:F9:FD:B0:27,99.3 
60:98:66:4B:2C:5E,99.5 
60:98:66:4B:2C:5E,98.5 
60:98:66:4B:2C:5E,100.5 
60:98:66:4B:2C:5E,99.7 
00:81:F9:FD:B0:27,100.2 
00:81:F9:FD:B0:27,100.2 
60:98:66:55:5E:63,99.7 
60:98:66:4B:2C:5E,99.9 
60:98:66:4B:2C:5E,100.3 
00:81:F9:FD:DA:49,98.4 
00:81:F9:FD:B0:27,99.3 
60:98:66:55:5E:63,98.3 
60:98:66:55:5E:63,98.6 
60:98:66:55:5E:63,98.6 
00:81:F9:FD:B0:27,97.6 
00:81:F9:FD:CA:9E,99 
00:81:F9:FD:CA:9E,99 
00:81:F9:FD:CA:9E,99.6 
00:81:F9:FD:CA:9E,99.6 
60:98:66:55:5E:63,98.5 
60:98:66:55:5E:63,98.8 
60:98:66:55:5E:63,98.2 
00:81:F9:FD:B0:27,100 
00:81:F9:FD:B0:27,99.1 
00:81:F9:FD:B0:27,98.8 
00:81:F9:FD:B0:27,99.3 
00:81:F9:FD:B0:27,99.5 
00:81:F9:FD:B0:27,99.9 
TESTBROWSER      ,103.1 
00:81:F9:FD:B0:27,99 
00:81:F9:FD:B0:27,99.7 